Tanggal Kurs;Kurs
29/12/2017;7.84E-07
30/12/2017;0
02/01/2018;1.96E-07
03/01/2018;1.06E-05
04/01/2018;3.17E-06
05/01/2018;2.64E-05
08/01/2018;3.56E-07
09/01/2018;5.34E-06
10/01/2018;2.44E-06
11/01/2018;2.68E-06
12/01/2018;2.35E-05
15/01/2018;5.75E-06
16/01/2018;5.06E-08
17/01/2018;5.63E-07
18/01/2018;9.91E-06
19/01/2018;6.49E-06
22/01/2018;5.06E-08
23/01/2018;1.44E-06
24/01/2018;5.07E-08
25/01/2018;5.43E-06
26/01/2018;9.56E-07
29/01/2018;3.25E-06
30/01/2018;2.82E-05
31/01/2018;1.25E-06
01/02/2018;6.73E-07
02/02/2018;3.76E-06
05/02/2018;2.70E-05
06/02/2018;3.49E-05
07/02/2018;1.10E-05
08/02/2018;2.59E-05
09/02/2018;9.06E-06
12/02/2018;6.23E-06
13/02/2018;6.60E-06
14/02/2018;9.07E-07
15/02/2018;4.08E-05
19/02/2018;4.58E-06
20/02/2018;5.57E-06
21/02/2018;4.39E-07
22/02/2018;3.71E-05
23/02/2018;1.34E-07
26/02/2018;6.48E-07
27/02/2018;4.34E-07
28/02/2018;1.74E-05
01/03/2018;3.91E-05
02/03/2018;1.17E-05
05/03/2018;1.91E-07
06/03/2018;5.29E-07
07/03/2018;8.93E-07
08/03/2018;6.38E-07
09/03/2018;2.11E-06
12/03/2018;3.56E-06
13/03/2018;6.39E-07
14/03/2018;1.71E-06
15/03/2018;4.29E-07
16/03/2018;1.53E-06
19/03/2018;0
20/03/2018;8.45E-08
21/03/2018;2.11E-08
22/03/2018;2.56E-06
23/03/2018;9.77E-06
26/03/2018;8.43E-08
27/03/2018;2.45E-05
28/03/2018;7.27E-06
29/03/2018;6.40E-07
02/04/2018;1.90E-07
03/04/2018;1.19E-06
04/04/2018;1.32E-07
05/04/2018;2.59E-07
06/04/2018;8.44E-08
09/04/2018;0
10/04/2018;7.60E-07
11/04/2018;7.61E-07
12/04/2018;1.35E-06
13/04/2018;5.28E-07
16/04/2018;8.93E-07
17/04/2018;8.44E-08
18/04/2018;0
19/04/2018;3.37E-07
20/04/2018;3.55E-06
23/04/2018;4.22E-05
24/04/2018;1.86E-07
25/04/2018;7.46E-07
26/04/2018;9.12E-06
27/04/2018;1.35E-05
30/04/2018;2.08E-08
02/05/2018;1.80E-05
03/05/2018;4.32E-06
04/05/2018;2.49E-06
07/05/2018;8.68E-07
08/05/2018;3.27E-05
09/05/2018;7.31E-06
11/05/2018;3.42E-06
14/05/2018;2.64E-05
15/05/2018;9.88E-06
16/05/2018;2.77E-05
17/05/2018;2.02E-06
18/05/2018;5.48E-06
21/05/2018;2.38E-05
22/05/2018;1.99E-08
23/05/2018;9.74E-07
24/05/2018;8.38E-07
25/05/2018;7.56E-06
28/05/2018;5.12E-05
30/05/2018;5.52E-06
31/05/2018;3.35E-05
04/06/2018;3.22E-05
05/06/2018;1.17E-06
06/06/2018;7.47E-07
07/06/2018;2.55E-07
08/06/2018;6.00E-06
19/06/2018;0
20/06/2018;0
21/06/2018;0.000180435
22/06/2018;7.25E-07
25/06/2018;4.52E-08
26/06/2018;1.68E-05
27/06/2018;0
28/06/2018;5.77E-05
29/06/2018;8.61E-05
02/07/2018;2.58E-05
03/07/2018;3.66E-05
04/07/2018;2.72E-05
05/07/2018;9.38E-06
06/07/2018;2.33E-06
09/07/2018;2.87E-05
10/07/2018;1.75E-07
11/07/2018;2.05E-05
12/07/2018;9.32E-06
13/07/2018;2.86E-05
16/07/2018;6.99E-06
17/07/2018;1.21E-07
18/07/2018;1.09E-06
19/07/2018;6.93E-07
20/07/2018;4.97E-05
23/07/2018;2.08E-05
24/07/2018;3.60E-05
25/07/2018;3.20E-06
26/07/2018;2.47E-05
27/07/2018;7.65E-06
30/07/2018;2.62E-05
31/07/2018;7.70E-08
01/08/2018;4.04E-06
02/08/2018;7.67E-08
03/08/2018;1.55E-05
06/08/2018;2.30E-06
07/08/2018;7.63E-08
08/08/2018;1.01E-05
09/08/2018;1.39E-06
10/08/2018;1.08E-06
13/08/2018;0.000101246
14/08/2018;8.27E-06
15/08/2018;7.48E-08
16/08/2018;1.87E-08
20/08/2018;7.89E-06
21/08/2018;4.71E-07
23/08/2018;1.27E-05
24/08/2018;5.72E-06
27/08/2018;9.46E-06
28/08/2018;7.49E-08
29/08/2018;3.93E-06
30/08/2018;6.71E-07
31/08/2018;1.45E-05
03/09/2018;1.44E-05
04/09/2018;2.43E-05
05/09/2018;3.42E-05
06/09/2018;5.83E-06
07/09/2018;2.21E-07
10/09/2018;1.09E-05
12/09/2018;3.56E-06
13/09/2018;2.17E-05
14/09/2018;7.66E-06
17/09/2018;2.61E-06
18/09/2018;1.08E-05
19/09/2018;6.48E-07
20/09/2018;1.47E-05
21/09/2018;1.02E-06
24/09/2018;7.63E-06
25/09/2018;3.54E-06
26/09/2018;9.10E-06
27/09/2018;1.62E-06
28/09/2018;4.49E-07
01/10/2018;2.59E-06
02/10/2018;3.08E-05
03/10/2018;4.42E-05
04/10/2018;8.87E-06
05/10/2018;1.05E-05
08/10/2018;5.25E-07
09/10/2018;6.91E-06
10/10/2018;1.40E-06
11/10/2018;6.22E-06
12/10/2018;1.50E-05
15/10/2018;1.17E-05
16/10/2018;6.90E-06
17/10/2018;3.40E-06
18/10/2018;3.51E-07
19/10/2018;5.00E-06
22/10/2018;3.64E-06
23/10/2018;1.11E-06
24/10/2018;9.74E-07
25/10/2018;1.25E-06
26/10/2018;3.89E-08
29/10/2018;5.23E-07
30/10/2018;1.56E-06
31/10/2018;4.31E-07
01/11/2018;4.43E-06
02/11/2018;4.90E-05
05/11/2018;6.06E-05
06/11/2018;2.94E-05
07/11/2018;7.34E-05
08/11/2018;5.90E-05
09/11/2018;1.68E-06
12/11/2018;6.13E-05
13/11/2018;9.97E-05
14/11/2018;8.92E-05
15/11/2018;3.72E-07
16/11/2018;0.000134127
19/11/2018;3.01E-07
21/11/2018;4.80E-06
22/11/2018;3.17E-06
23/11/2018;7.53E-06
26/11/2018;4.72E-09
27/11/2018;1.05E-05
28/11/2018;4.56E-06
29/11/2018;7.70E-05
30/11/2018;2.30E-05
03/12/2018;3.70E-05
04/12/2018;8.25E-06
05/12/2018;3.94E-05
06/12/2018;7.37E-05
07/12/2018;4.85E-06
10/12/2018;2.29E-06
11/12/2018;4.34E-05
12/12/2018;6.08E-06
13/12/2018;7.93E-06
14/12/2018;1.89E-08
17/12/2018;2.94E-05
18/12/2018;4.16E-05
19/12/2018;9.79E-05
20/12/2018;6.79E-05
21/12/2018;1.72E-06
26/12/2018;7.04E-05
27/12/2018;7.15E-06
28/12/2018;2.08E-06
31/12/2018;1.77E-05
02/01/2019;1.22E-06
03/01/2019;3.87E-07
04/01/2019;7.40E-05
07/01/2019;0.000296549
08/01/2019;2.77E-05
09/01/2019;4.00E-05
10/01/2019;3.66E-06
11/01/2019;1.46E-06
14/01/2019;2.91E-06
15/01/2019;5.17E-06
16/01/2019;2.46E-05
